label_id,patch_id,class,n_patches,common_bin
174,27.6791_79.5283,2,4,3plus_common
175,27.1143_79.4397,1,1,no_common
176,27.8879_79.2985,1,2,1_common
177,26.9291_79.7397,2,3,2_common
178,27.9643_80.5661,1,1,no_common
179,28.2758_79.7283,1,4,3plus_common
180,28.2758_79.7283,1,4,3plus_common
181,25.4144_79.8661,1,2,1_common
182,25.6967_79.5661,1,1,no_common
183,28.1967_80.2985,2,2,1_common
184,26.1879_79.7897,0,2,1_common
185,26.2291_80.1161,2,2,1_common
186,26.9643_78.8283,2,2,1_common
187,27.1055_79.6897,1,1,no_common
188,28.4555_79.9283,1,2,1_common
189,27.3879_80.4897,1,1,no_common
190,26.3379_79.5897,1,2,1_common
191,28.2644_79.8397,1,2,1_common
192,27.0879_80.5161,0,3,2_common
193,26.9467_79.6750,0,2,1_common
194,26.9467_79.6750,2,2,1_common
195,28.3967_80.2397,1,2,1_common
196,26.6291_80.2161,1,3,2_common
197,28.0967_79.9783,1,3,2_common
198,27.6143_80.2161,2,1,no_common
199,27.0643_80.1985,2,1,no_common
200,26.7644_79.0485,1,3,2_common
201,26.7644_79.0485,1,3,2_common
202,26.7644_79.0485,1,2,1_common
203,28.3379_79.8783,1,4,3plus_common
204,27.5291_80.1573,1,4,3plus_common
205,26.9968_80.5073,2,2,1_common
206,26.4055_79.8783,1,2,1_common
207,27.6643_80.2485,1,2,1_common
208,27.0291_78.7897,1,1,no_common
209,27.8143_80.4783,2,3,2_common
210,27.7143_80.3485,1,1,no_common
211,27.5056_79.7283,1,2,1_common
212,26.5467_79.8661,0,2,1_common
213,28.3055_79.7397,1,1,no_common
214,27.0757_80.3073,1,4,3plus_common
215,27.9643_79.7249,1,2,1_common
216,26.9880_79.3161,1,2,1_common
217,26.2758_79.7283,1,3,2_common
218,26.9555_78.8161,1,3,2_common
219,27.0967_79.2749,1,2,1_common
220,27.0967_79.2749,2,3,2_common
221,27.9467_80.4073,1,2,1_common
222,26.0258_80.4250,0,4,3plus_common
223,26.0258_80.4250,2,4,3plus_common
224,26.6555_79.6573,1,1,no_common
225,26.6555_79.6573,1,4,3plus_common
226,26.4879_79.5783,1,2,1_common
227,26.9555_79.0897,2,1,no_common
228,28.4968_79.9485,1,2,1_common
229,26.2379_80.1783,1,1,no_common
230,26.8291_79.2485,1,1,no_common
231,27.9792_79.8783,1,4,3plus_common
232,27.0379_79.8073,1,1,no_common
233,27.0379_79.8073,1,1,no_common
234,26.2291_79.7783,1,3,2_common
235,26.2291_79.7783,0,2,1_common
236,26.2291_79.7783,0,3,2_common
237,26.2291_79.7783,0,2,1_common
238,26.2291_79.7783,0,3,2_common
239,26.2291_79.7783,0,2,1_common
240,26.2291_79.7783,1,4,3plus_common
241,26.2291_79.7783,0,4,3plus_common
242,27.5643_80.2661,1,2,1_common
243,26.7291_79.0485,1,2,1_common
244,27.3467_78.9073,1,1,no_common
245,27.3467_78.9073,0,1,no_common
246,27.4880_79.6283,2,2,1_common
247,26.1257_79.8073,2,2,1_common
248,26.4555_80.5249,2,3,2_common
249,26.8143_78.9485,1,1,no_common
250,26.8143_78.9485,2,1,no_common
251,27.0879_80.1750,2,2,1_common
252,27.2291_79.2573,1,2,1_common
253,27.3879_79.5573,1,4,3plus_common
254,27.3879_79.5573,2,4,3plus_common
255,27.1757_80.3283,0,1,no_common
256,27.0757_80.5397,1,2,1_common
257,27.8257_80.4661,1,2,1_common
258,26.9791_78.7783,1,4,3plus_common
259,26.9791_78.7783,2,2,1_common
260,27.3467_79.6161,1,2,1_common
261,27.3467_79.6161,1,2,1_common
262,27.3467_79.6161,0,1,no_common
263,27.3467_79.6161,1,4,3plus_common
264,27.3791_79.4250,2,4,3plus_common
265,28.3055_79.6573,2,4,3plus_common
266,28.0258_80.4250,2,3,2_common
267,27.2879_79.9749,1,2,1_common
268,27.2879_79.9749,0,2,1_common
269,26.4968_80.1985,1,1,no_common
270,26.4968_80.1985,1,2,1_common
271,26.4968_80.1985,1,1,no_common
272,27.9379_79.7783,2,4,3plus_common
273,28.1143_79.2783,0,1,no_common
274,26.0467_80.5485,1,1,no_common
275,26.6055_79.2249,1,2,1_common
276,26.2758_79.7661,2,3,2_common
277,26.1380_80.1662,1,4,3plus_common
278,26.1380_80.1662,0,3,2_common
279,26.1380_80.1662,2,2,1_common
280,26.1380_80.1662,2,2,1_common
281,26.1380_80.1662,0,1,no_common
282,26.8555_78.8397,1,1,no_common
283,26.9055_80.2397,2,2,1_common
284,26.9055_80.2397,0,2,1_common
285,26.9055_80.2397,1,2,1_common
286,27.6791_80.4783,2,4,3plus_common
287,27.6791_80.4783,2,4,3plus_common
288,26.1758_80.5485,0,2,1_common
289,26.1758_80.5485,1,2,1_common
290,27.6555_78.9283,1,2,1_common
291,26.1791_80.1397,1,2,1_common
292,27.6291_78.9249,1,4,3plus_common
293,26.2791_79.7661,2,3,2_common
294,26.4879_79.6985,1,2,1_common
295,27.8643_80.2661,2,1,no_common
296,25.6556_80.1662,1,2,1_common
297,28.0258_79.8749,1,4,3plus_common
298,27.2055_79.3397,2,2,1_common
299,27.2055_79.3397,1,2,1_common
300,28.1643_79.5749,0,1,no_common
301,28.1379_80.0397,2,1,no_common
302,28.2055_79.8283,1,4,3plus_common
303,27.7758_80.1750,2,2,1_common
304,27.8555_79.2661,1,1,no_common
305,27.8555_79.2661,1,4,3plus_common
306,27.3643_79.5783,1,4,3plus_common
307,26.6258_79.7485,1,1,no_common
308,26.6967_79.0661,1,1,no_common
309,28.0144_79.4283,1,2,1_common
310,26.6258_80.1783,2,2,1_common
311,27.5056_79.0073,0,1,no_common
312,27.3758_79.3161,2,2,1_common
313,27.4467_80.5485,1,1,no_common
314,27.5643_79.3249,0,2,1_common
315,27.5643_79.3249,0,2,1_common
316,26.6879_80.1662,0,1,no_common
317,27.1143_80.5283,1,2,1_common
318,26.6055_79.2661,1,3,2_common
319,27.6258_80.0283,1,3,2_common
320,26.9880_79.6661,1,4,3plus_common
321,26.1791_80.5485,1,2,1_common
322,26.6555_79.6485,1,4,3plus_common
323,27.1055_80.4985,1,1,no_common
324,26.8055_79.0897,1,1,no_common
325,26.4757_80.5161,1,4,3plus_common
326,27.6967_78.9783,1,4,3plus_common
327,28.0555_79.7249,2,3,2_common
328,26.6291_80.1985,0,2,1_common
329,26.6291_80.1985,1,2,1_common
330,28.4143_79.8783,0,2,1_common
331,28.1757_79.6985,2,1,no_common
332,26.2468_79.7897,1,1,no_common
333,25.6791_79.7897,1,2,1_common
334,27.0467_79.4485,0,4,3plus_common
335,27.0467_79.4485,1,2,1_common
336,27.8379_80.0897,1,2,1_common
337,26.4757_79.8783,1,1,no_common
338,27.3291_80.1161,2,2,1_common
339,27.2143_80.2661,0,2,1_common
340,27.9880_79.5283,2,2,1_common
341,27.9643_79.8985,1,1,no_common
342,26.7055_79.2573,1,1,no_common
343,26.3757_80.3283,0,2,1_common
344,27.4880_80.2573,2,2,1_common
345,27.8379_79.9283,2,2,1_common
346,27.0555_80.1985,1,3,2_common
347,27.4467_80.1783,1,2,1_common
348,27.0379_78.8897,2,2,1_common
349,26.1556_80.4749,0,1,no_common
350,27.7967_79.3661,1,2,1_common
351,27.5291_78.8783,1,4,3plus_common
352,27.9643_79.1661,1,1,no_common
353,27.3555_79.3985,1,1,no_common
354,27.3291_80.1897,1,2,1_common
355,26.1055_80.4162,0,3,2_common
356,26.1055_80.4162,1,3,2_common
357,26.1055_80.4162,2,2,1_common
358,26.1055_80.4162,1,2,1_common
359,26.1055_80.4162,2,2,1_common
360,27.6379_79.5397,1,3,2_common
361,27.6379_79.5397,0,3,2_common
362,27.6379_79.5397,1,1,no_common
363,27.6379_79.5397,1,1,no_common
364,27.4880_79.2783,1,4,3plus_common
365,27.3555_80.1573,1,1,no_common
366,27.1879_79.3985,0,2,1_common
367,27.2143_79.3073,1,2,1_common
368,27.8967_79.2249,1,4,3plus_common
369,26.5258_80.1283,0,2,1_common
370,26.5467_80.4397,1,1,no_common
371,26.5144_79.6573,0,1,no_common
372,26.3379_80.4749,2,2,1_common
373,26.3879_80.2897,1,1,no_common
374,26.1055_80.2749,0,2,1_common
375,26.9880_78.7783,1,2,1_common
376,27.8879_79.9661,1,1,no_common
377,27.5379_78.8783,1,4,3plus_common
378,27.5379_78.8783,1,4,3plus_common
379,27.4880_79.4897,2,1,no_common
380,26.7055_79.2073,2,2,1_common
381,28.1791_79.6485,0,2,1_common
382,27.5056_79.2283,1,4,3plus_common
383,27.6143_79.1283,1,2,1_common
384,27.6143_79.1283,1,2,1_common
385,27.6143_79.1283,0,2,1_common
386,26.4968_79.6985,1,2,1_common
387,27.1291_78.8485,1,2,1_common
388,27.6879_79.4161,1,2,1_common
389,27.6879_79.4161,1,2,1_common
390,27.6879_79.4161,1,2,1_common
391,25.9879_80.3749,1,1,no_common
392,28.3758_80.2985,2,2,1_common
393,26.7143_79.4250,1,3,2_common
394,26.3143_80.1783,1,4,3plus_common
395,26.3379_80.2397,1,1,no_common
396,27.9880_79.8897,2,2,1_common
397,27.8143_79.6661,1,2,1_common
398,27.3379_79.6161,0,1,no_common
399,27.3379_79.6161,1,2,1_common
400,26.9467_80.5485,2,1,no_common
401,28.3555_79.8397,1,2,1_common
402,27.2143_79.0749,0,1,no_common
403,27.0291_79.5073,2,1,no_common
404,27.0291_79.5073,1,3,2_common
405,28.2380_79.9573,1,2,1_common
406,27.2380_79.6397,1,1,no_common
407,26.9791_80.3249,2,4,3plus_common
408,26.8379_80.0283,1,1,no_common
409,26.5144_80.1897,0,2,1_common
410,27.1291_80.2573,0,2,1_common
411,26.9968_80.3661,1,1,no_common
412,26.9968_80.3661,1,4,3plus_common
413,26.9968_80.3661,1,4,3plus_common
414,27.7556_80.2283,2,3,2_common
415,27.7556_80.2283,1,1,no_common
416,28.0056_79.2283,2,1,no_common
417,28.1643_79.9985,2,1,no_common
418,26.0144_80.3161,0,1,no_common
419,26.9757_78.7749,1,4,3plus_common
420,27.6791_79.7985,1,2,1_common
421,26.5757_79.7249,0,1,no_common
422,28.3055_79.9897,1,1,no_common
423,27.0258_80.1573,2,2,1_common
424,26.9467_79.4661,0,1,no_common
425,27.7055_80.0249,2,2,1_common
426,27.7055_80.0249,2,4,3plus_common
427,28.0291_79.3073,2,1,no_common
428,27.6258_79.5397,1,2,1_common
429,27.9880_79.9897,1,2,1_common
430,27.3758_79.2661,2,2,1_common
431,27.2380_79.1573,2,2,1_common
432,27.2380_79.1573,2,2,1_common
433,28.0291_79.4250,1,3,2_common
434,28.0291_79.4250,1,4,3plus_common
435,28.2644_79.5661,2,1,no_common
436,27.6757_80.4749,2,4,3plus_common
437,27.6757_80.4749,2,4,3plus_common
438,27.5144_80.0749,1,2,1_common
439,26.9143_79.9985,2,1,no_common
440,27.8967_79.2283,1,4,3plus_common
441,27.7055_80.4783,1,2,1_common
442,27.7055_80.4783,2,2,1_common
443,27.1879_80.2397,1,1,no_common
444,26.8758_78.9161,2,1,no_common
445,26.8758_78.9161,2,1,no_common
446,26.1556_80.1249,1,3,2_common
447,26.1556_80.1249,2,2,1_common
448,26.1556_80.1249,1,2,1_common
449,27.1055_79.4985,2,2,1_common
450,26.7879_78.9783,1,3,2_common
451,26.8379_80.0783,1,2,1_common
452,28.1055_79.9073,1,1,no_common
453,26.8467_79.0283,0,1,no_common
454,26.2468_79.7749,1,5,3plus_common
455,27.7292_80.3573,1,2,1_common
456,27.8879_79.9573,1,2,1_common
457,27.8879_79.9573,2,2,1_common
458,27.4792_78.8661,2,2,1_common
459,26.6791_79.6283,1,2,1_common
460,28.1258_79.5985,1,4,3plus_common
461,27.8257_80.2661,2,2,1_common
462,26.8143_78.9161,1,6,3plus_common
463,26.8143_78.9161,2,1,no_common
464,26.1257_80.4250,0,4,3plus_common
465,26.2967_80.5073,1,3,2_common
466,26.2468_79.8161,1,2,1_common
467,27.9143_80.0749,1,1,no_common
468,26.0967_80.4162,0,3,2_common
469,27.2257_79.2573,1,2,1_common
470,26.1758_80.1397,1,2,1_common
471,27.2791_79.9661,1,2,1_common
472,27.2791_79.9661,1,2,1_common
473,26.8967_79.3397,1,1,no_common
474,26.8967_79.3397,0,3,2_common
475,26.1055_80.4250,0,3,2_common
476,26.1055_80.4250,1,2,1_common
477,26.1055_80.4250,2,2,1_common
478,26.9791_79.7397,2,2,1_common
479,27.1379_79.3661,2,2,1_common
480,27.5643_78.9283,2,4,3plus_common
481,26.5757_79.2897,1,1,no_common
482,27.8555_79.2985,1,2,1_common
483,27.4055_79.2397,1,1,no_common
484,27.8467_80.3749,1,4,3plus_common
485,26.1967_80.2749,2,4,3plus_common
486,27.9968_79.7661,1,1,no_common
487,28.1291_79.7749,1,4,3plus_common
488,26.1468_79.8249,2,3,2_common
489,27.4291_79.7897,1,2,1_common
490,27.3291_79.1661,1,4,3plus_common
491,27.0056_79.8661,1,2,1_common
492,27.9757_79.7249,1,1,no_common
493,27.9757_79.7249,2,4,3plus_common
494,27.7468_80.2485,1,1,no_common
495,26.5643_79.8749,2,2,1_common
496,26.8879_80.2783,1,4,3plus_common
497,26.3467_79.8485,2,3,2_common
498,27.7556_79.8161,1,1,no_common
499,27.2967_79.9161,1,2,1_common
500,26.7468_79.0749,1,4,3plus_common
501,26.2758_79.6985,1,2,1_common
502,27.5291_80.0249,1,2,1_common
503,28.0555_80.0661,1,2,1_common
504,27.9055_79.2249,1,4,3plus_common
505,25.6468_80.1573,1,3,2_common
506,28.2257_80.3397,2,1,no_common
507,28.2257_80.3397,1,2,1_common
508,27.8143_79.8073,1,2,1_common
509,26.4467_80.5485,1,4,3plus_common
510,27.7143_79.4283,1,2,1_common
511,27.7143_79.4283,1,2,1_common
512,26.5967_79.2783,0,4,3plus_common
513,26.5967_79.2783,1,2,1_common
514,27.2291_80.5397,2,2,1_common
515,27.2291_80.5397,2,4,3plus_common
516,28.1757_80.0573,2,2,1_common
517,26.4291_79.9397,1,2,1_common
518,26.1879_80.4985,2,2,1_common
519,26.1055_80.4283,1,2,1_common
520,28.2055_79.5249,1,4,3plus_common
521,28.2055_79.5249,1,4,3plus_common
522,28.4143_80.0573,1,2,1_common
523,27.6291_80.0249,1,3,2_common
524,28.2556_79.5249,1,2,1_common
525,26.5291_79.8749,1,5,3plus_common
526,28.2758_80.2485,1,3,2_common
527,27.2380_78.9573,2,2,1_common
528,26.4757_79.8573,1,1,no_common
529,26.3643_80.4749,1,1,no_common
530,27.9792_79.7283,2,3,2_common
531,27.3467_80.1485,1,2,1_common
532,26.0144_80.2985,1,1,no_common
533,27.4968_80.0485,2,4,3plus_common
534,27.9555_79.9250,1,2,1_common
535,26.9467_80.4749,2,2,1_common
536,26.7257_79.6985,1,4,3plus_common
537,28.2292_79.6161,2,4,3plus_common
538,26.9643_80.3985,1,1,no_common
539,26.7257_79.2661,1,2,1_common
540,26.0467_80.5573,0,2,1_common
541,26.0467_80.5573,1,2,1_common
542,26.0467_80.5573,2,2,1_common
543,26.1292_80.2283,1,4,3plus_common
544,26.1292_80.2283,2,4,3plus_common
545,26.1292_80.2283,1,4,3plus_common
546,27.1379_79.6073,2,1,no_common
547,27.7257_79.4573,1,2,1_common
548,27.0467_80.4661,1,2,1_common
549,26.9291_78.8073,2,2,1_common
550,28.2556_79.8397,1,2,1_common
551,28.2556_79.8397,1,2,1_common
552,28.1467_80.3485,0,2,1_common
553,27.8791_80.4661,2,1,no_common
554,27.3291_79.1783,2,4,3plus_common
555,27.3291_79.1783,0,4,3plus_common
556,28.0467_80.0661,1,1,no_common
557,27.1258_79.7249,1,4,3plus_common
558,27.1258_79.7249,1,4,3plus_common
559,26.4555_80.5283,2,1,no_common
560,27.9643_79.2485,1,1,no_common
561,27.5791_80.0161,1,2,1_common
562,26.1967_79.8283,1,4,3plus_common
563,26.1967_79.8283,0,3,2_common
564,26.1967_79.8283,0,4,3plus_common
565,26.1967_79.8283,1,1,no_common
566,26.1967_79.8283,0,2,1_common
567,26.1967_79.8283,0,4,3plus_common
568,26.1967_79.8283,0,4,3plus_common
569,26.1967_79.8283,0,4,3plus_common
570,26.1967_79.8283,0,4,3plus_common
571,28.4143_80.0661,1,2,1_common
572,28.4143_80.0661,1,1,no_common
573,27.5757_79.9661,1,1,no_common
574,26.3291_80.3161,1,2,1_common
575,26.4643_79.7485,0,1,no_common
576,26.4643_79.7485,2,2,1_common
577,27.0791_79.5985,1,2,1_common
578,26.2967_79.8249,2,1,no_common
579,26.7291_79.2073,1,2,1_common
580,27.5555_79.8161,2,4,3plus_common
581,28.2879_79.7783,1,1,no_common
582,26.1758_80.0897,2,2,1_common
583,26.9055_80.3661,0,1,no_common
584,26.9055_80.3661,1,2,1_common
585,27.3967_80.0073,1,2,1_common
586,27.0967_79.3573,2,1,no_common
587,27.4379_79.8783,1,3,2_common
588,27.4467_80.0485,1,2,1_common
589,26.2143_79.9985,0,1,no_common
590,26.1055_80.4073,1,2,1_common
591,26.2257_80.2985,1,2,1_common
592,26.4055_79.5661,2,2,1_common
593,26.9880_79.3283,0,2,1_common
594,27.5879_79.1485,1,2,1_common
595,25.9791_79.4573,2,2,1_common
596,26.4643_80.4897,1,2,1_common
597,27.3055_78.8661,1,2,1_common
598,26.9467_79.4573,0,2,1_common
599,27.9792_79.7249,2,4,3plus_common
600,27.2967_78.9161,1,1,no_common
601,26.9555_78.8573,1,1,no_common
602,27.7380_80.2397,2,3,2_common
603,27.9257_80.1073,1,1,no_common
604,27.4880_79.1485,0,2,1_common
605,27.1258_80.2573,0,2,1_common
606,27.5056_78.9249,1,4,3plus_common
607,27.8791_80.0485,2,4,3plus_common
608,28.0467_80.5485,1,2,1_common
609,27.5056_78.8783,1,3,2_common
610,26.6555_79.1397,1,2,1_common
611,26.4291_80.1573,0,2,1_common
612,28.0258_79.9783,1,4,3plus_common
613,26.7055_79.0485,1,1,no_common
614,27.4757_79.6897,1,1,no_common
615,27.9555_79.9573,0,1,no_common
616,27.0967_80.4985,2,2,1_common
617,27.2644_80.3485,1,2,1_common
618,27.4968_80.5573,1,2,1_common
619,26.4555_79.5249,2,4,3plus_common
620,26.4555_79.5249,1,4,3plus_common
621,26.4555_79.5249,1,2,1_common
622,26.5967_80.2073,1,2,1_common
623,27.8291_79.5985,1,4,3plus_common
624,26.4379_80.1485,2,4,3plus_common
625,26.4379_80.1485,0,2,1_common
626,26.4379_80.1485,2,4,3plus_common
627,26.4379_80.1485,0,2,1_common
628,27.2791_79.9397,1,2,1_common
629,27.2143_79.3161,1,2,1_common
630,27.8758_79.2073,1,2,1_common
631,26.1879_80.2897,2,1,no_common
632,25.6468_80.1161,1,2,1_common
633,26.4257_79.6750,1,4,3plus_common
634,26.5879_79.2661,1,4,3plus_common
635,26.9880_79.2661,1,4,3plus_common
636,26.9880_79.2661,1,4,3plus_common
637,27.4880_79.3283,1,4,3plus_common
638,26.2143_79.7661,2,1,no_common
639,27.2791_78.8397,1,2,1_common
640,26.6879_79.0897,2,1,no_common
641,26.6879_79.0897,2,2,1_common
642,27.5379_80.5249,1,1,no_common
643,26.5144_79.3283,1,1,no_common
644,26.6143_80.2073,0,2,1_common
645,26.3643_79.6750,1,2,1_common
646,28.3555_80.0985,1,1,no_common
647,26.9143_79.7897,0,2,1_common
648,26.9379_79.9161,1,1,no_common
649,26.7644_79.0749,1,3,2_common
650,27.3055_79.0397,1,1,no_common
651,27.3055_79.0397,1,2,1_common
652,26.8291_79.4985,1,1,no_common
653,26.8257_80.2073,1,2,1_common
654,28.2967_79.5249,1,1,no_common
655,26.9880_79.3897,1,4,3plus_common
656,27.7758_80.1662,1,1,no_common
657,27.7758_80.1662,2,2,1_common
658,27.6757_79.5249,1,4,3plus_common
659,27.6757_79.5249,1,4,3plus_common
660,27.6757_79.5249,1,4,3plus_common
661,27.5643_79.3283,0,2,1_common
662,27.5643_79.3283,0,2,1_common
663,26.9643_79.5661,2,2,1_common
664,27.6791_79.5249,1,4,3plus_common
665,27.6791_79.5249,1,4,3plus_common
666,27.6791_79.5249,1,4,3plus_common
667,27.6791_79.5249,2,4,3plus_common
668,27.3791_79.5661,2,3,2_common
669,27.3791_79.5661,1,4,3plus_common
670,27.3791_79.5661,2,4,3plus_common
671,27.9055_79.2661,2,2,1_common
672,28.3467_80.2749,2,2,1_common
673,27.4379_80.1249,2,2,1_common
674,26.2291_79.7749,1,3,2_common
675,26.2291_79.7749,0,3,2_common
676,26.2291_79.7749,0,3,2_common
677,26.2291_79.7749,0,2,1_common
678,26.2291_79.7749,1,4,3plus_common
679,26.2291_79.7749,0,4,3plus_common
680,28.1379_79.7783,2,2,1_common
681,28.3379_80.2485,1,2,1_common
